Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value
Chile,2008,All genders,Not applicable,Number,92230
Chile,2008,Female,Not applicable,Number,49806
Chile,2007,Female,Not applicable,Number,46199
Chile,2007,All genders,Not applicable,Number,87485
Chile,2006,All genders,Not applicable,Number,73203
Chile,2006,Female,Not applicable,Number,37641
Chile,2003,Female,Not applicable,Number,33020
Chile,2003,All genders,Not applicable,Number,64364
Chile,2000,All genders,Not applicable,Number,53417
Chile,2000,Female,Not applicable,Number,24675
Chile,1999,Female,Not applicable,Number,39141
Chile,1999,All genders,Not applicable,Number,79262
China,2014,Female,Not applicable,Number,5818568
China,2014,All genders,Not applicable,Number,11380503
China,2013,All genders,Not applicable,Number,9366202
China,2013,Female,Not applicable,Number,4751345
China,2012,Female,Not applicable,Number,4604676
China,2012,All genders,Not applicable,Number,9135720
China,2011,All genders,Not applicable,Number,8733298
China,2011,Female,Not applicable,Number,4342746
China,2010,Female,Not applicable,Number,3852772
China,2010,All genders,Not applicable,Number,7863663
China,2009,All genders,Not applicable,Number,7716957
China,2009,Female,Not applicable,Number,3751223
China,2008,Female,Not applicable,Number,3387354
China,2008,All genders,Not applicable,Number,7071047
China,2007,All genders,Not applicable,Number,5872815
China,2007,Female,Not applicable,Number,2750852
China,2006,Female,Not applicable,Number,2567337
China,2006,All genders,Not applicable,Number,5622795
China,2005,All genders,Not applicable,Number,5004102
China,2005,Female,Not applicable,Number,2294295
China,2004,Female,Not applicable,Number,1805589
